,driverId,raceId,age,position,pct_laps_comp,points,grid
8647,102,377,28.265753424657536,1.0,100.0,9.0,1
8648,117,377,33.33972602739726,2.0,100.0,6.0,4
8649,123,377,30.956164383561642,3.0,98.4126984126984,4.0,5
8650,110,377,29.073972602739726,4.0,98.4126984126984,3.0,12
8651,156,377,31.635616438356163,5.0,98.4126984126984,2.0,17
8652,94,377,27.175342465753424,6.0,98.4126984126984,1.0,16
8653,114,377,26.912328767123288,7.0,96.82539682539682,0.0,24
8654,133,377,24.27123287671233,8.0,96.82539682539682,0.0,21
8655,141,377,26.71232876712329,9.0,93.65079365079364,0.0,22
8678,117,378,33.37808219178082,1.0,100.0,9.0,1
8679,102,378,28.304109589041097,2.0,100.0,6.0,2
8680,105,378,31.54794520547945,3.0,100.0,4.0,4
8681,77,378,28.87123287671233,4.0,98.75,3.0,3
8682,137,378,35.9013698630137,5.0,98.75,2.0,7
8683,145,378,29.01095890410959,6.0,98.75,1.0,6
8684,138,378,35.38082191780822,7.0,98.75,0.0,8
8685,127,378,25.221917808219178,8.0,98.75,0.0,16
8686,122,378,25.12876712328767,9.0,98.75,0.0,10
8687,110,378,29.112328767123287,10.0,97.5,0.0,12
8688,158,378,30.4986301369863,11.0,97.5,0.0,13
8689,133,378,24.30958904109589,12.0,97.5,0.0,14
8690,114,378,26.95068493150685,13.0,97.5,0.0,19
8691,131,378,25.161643835616438,14.0,96.25,0.0,20
8692,94,378,27.213698630136985,15.0,96.25,0.0,22
8709,102,379,28.323287671232876,1.0,100.0,9.0,3
8710,95,379,34.945205479452056,2.0,100.0,6.0,11
8711,145,379,29.03013698630137,3.0,100.0,4.0,8
8712,127,379,25.24109589041096,4.0,100.0,3.0,5
8713,137,379,35.92054794520548,5.0,100.0,2.0,7
8714,118,379,33.893150684931506,6.0,98.46153846153847,1.0,9
8715,158,379,30.517808219178082,7.0,98.46153846153847,0.0,13
8716,119,379,34.25479452054795,8.0,98.46153846153847,0.0,15
8717,77,379,28.89041095890411,9.0,98.46153846153847,0.0,1
8718,138,379,35.4,10.0,98.46153846153847,0.0,10
8719,133,379,24.328767123287673,11.0,98.46153846153847,0.0,21
8720,131,379,25.18082191780822,12.0,98.46153846153847,0.0,20
8721,114,379,26.96986301369863,13.0,96.92307692307692,0.0,23
8722,112,379,33.97808219178082,14.0,96.92307692307692,0.0,22
8723,94,379,27.232876712328768,15.0,96.92307692307692,0.0,19
8724,141,379,26.76986301369863,16.0,96.92307692307692,0.0,24
8725,105,379,31.567123287671233,17.0,95.38461538461539,0.0,2
8726,163,379,40.04383561643836,18.0,95.38461538461539,0.0,25
8727,78,379,24.326027397260273,19.0,92.3076923076923,0.0,26
8740,102,380,28.361643835616437,1.0,100.0,9.0,1
